anio,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas,cantidad_victimas_masc,cantidad_victimas_fem,cantidad_victimas_sd,tasa_hechos,tasa_victimas,tasa_victimas_masc,tasa_victimas_fem
2004,31,Suicidios (consumados),2843,2843,0,0,2843,8.1564884,8.1564884,0,0
2004,4,Homicidios culposos por otros hechos,716,785,498,207,80,1.8680125,2.0480306,2.6540864,1.0579592
2004,5,Lesiones dolosas,142257,148802,71774,54355,22673,371.14227,388.2179,382.51886,277.80374
2004,6,Lesiones culposas en Accidentes Viales,64717,74394,43193,20915,10286,168.84381,194.09068,230.19669,106.89477
2004,7,Lesiones culposas por otros hechos,8620,8931,3665,2440,2826,22.489201,23.300587,19.532583,12.47063
2004,8,Otros delitos contra las personas,16708,17619,9002,5320,3297,43.590439,45.967197,47.976074,27.190062
2004,9,Delitos contra el honor,381,392,84,272,36,.99401224,1.0227108,.44767722,1.3901685
2005,1,Homicidios dolosos,2120,2203,1689,322,192,5.4739642,5.6882753,8.9106827,1.6284015
2005,10,Abusos sexuales con acceso carnal (violaciones),3156,3223,272,2409,542,8.1489773,8.3219748,1.4349946,12.182669
2005,11,Otros delitos contra la integridad sexual,6852,7087,752,4896,1439,17.692266,18.299049,3.9673378,24.759794
2005,12,Delitos contra el estado civil,85,,,,,.21947499,,,
2005,13,Amenazas,131288,,,,,338.99332,,,
2005,14,Otros delitos contra la libertad,13210,13213,3,0,13210,34.108994,34.116741,.015827145,0
2005,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),322267,,,,,832.1123,,,
2005,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),20767,,,,,53.621613,,,
2005,17,Robos agravados por el resultado de lesiones y/o muertes ,10823,,,,,27.945621,,,
2005,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1475,,,,,3.8085365,,,
2005,19,Hurtos,292455,,,,,755.13599,,,
2005,2,Homicidios dolosos en grado de tentativa,916,978,694,151,133,2.3651657,2.5252533,3.6613464,.76362926
2005,20,Tentativas de hurto,11214,,,,,28.955206,,,
2005,21,Otros delitos contra la propiedad,80249,,,,,207.20763,,,
2005,22,Delitos contra la seguridad pública,5381,,,,,13.894057,,,
2005,23,Delitos contra el orden público,1371,,,,,3.5400023,,,
2005,24,Delitos contra la seguridad de la nación,37,,,,,.095536172,,,
2005,25,Delitos contra los poderes públicos y el orden constitucional,120,,,,,.30984703,,,
2005,26,Delitos contra la administración pública,13891,,,,,35.867378,,,
2005,27,Delitos contra la fe pública,5428,,,,,14.015414,,,
2005,28,Ley 23.737 (estupefacientes),22378,,,,,57.781307,,,
2005,29,Otros delitos previstos en leyes especiales,25332,,,,,65.408707,,,
2005,3,Muertes en accidentes viales,3443,3983,2771,919,293,8.890028,10.28434,14.619007,4.6475186
2005,30,Contravenciones,126279,,,,,326.05978,,,
2005,31,Suicidios (consumados),2709,2712,3,0,2709,7.6876025,7.696116,.017472014,0
2005,4,Homicidios culposos por otros hechos,895,941,593,198,150,2.3109424,2.4297173,3.128499,1.0013152
2005,5,Lesiones dolosas,142135,149315,71766,53782,23767,367.00092,385.5401,378.61697,271.98352
2005,6,Lesiones culposas en Accidentes Viales,73066,84614,47303,25673,11638,188.66071,218.47832,249.55716,129.83215
2005,7,Lesiones culposas por otros hechos,9532,9937,4231,2704,3002,24.612183,25.657917,22.32155,13.674527
2005,8,Otros delitos contra las personas,15832,16625,8411,5083,3131,40.879154,42.926723,44.374043,25.705481
2005,9,Delitos contra el honor,316,329,69,227,33,.81593055,.84949732,.36402434,1.1479725
2006,1,Homicidios dolosos,2057,2111,1602,315,194,5.256537,5.3945308,8.366416,1.5762432
2006,10,Abusos sexuales con acceso carnal (violaciones),3272,3386,262,2411,713,8.3613949,8.6527147,1.3682903,12.064515
2006,11,Otros delitos contra la integridad sexual,7353,7683,826,5336,1521,18.79014,19.633434,4.3137703,26.701059
